Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.3601,82.32,0.3147,86.22,0.9285
2,0.1697,93.40,0.2582,90.25,0.9526
3,0.0936,96.59,0.3062,90.39,0.9523
4,0.0657,97.60,0.3380,89.96,0.9488
5,0.0552,98.07,0.3816,89.25,0.9421
6,0.0435,98.50,0.3370,89.75,0.9459
7,0.0352,98.82,0.5237,89.95,0.9527
