Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4079,79.43,0.4342,82.56,0.8706
2,0.1875,92.69,0.3966,86.49,0.9051
3,0.1366,95.70,0.4256,86.75,0.9004
4,0.0758,97.31,0.4405,87.04,0.9067
5,0.0579,97.94,0.4418,86.61,0.9040
6,0.0461,98.34,0.6580,83.53,0.9150
7,0.0442,98.45,0.6412,87.03,0.8829
