Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.2981,86.17,0.3311,87.87,0.9370
2,0.1660,94.00,0.3819,83.17,0.9124
3,0.1441,95.39,0.5608,85.96,0.9211
4,0.1583,96.18,0.3739,88.35,0.9330
5,0.0889,97.08,0.3914,87.97,0.9351
6,0.0964,97.15,0.4152,88.62,0.9361
