Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4383,78.19,0.3197,85.78,0.8968
2,0.2207,91.36,0.4119,87.10,0.8949
3,0.1586,93.92,0.3176,88.02,0.9240
4,0.1163,95.73,0.3059,88.78,0.9229
5,0.0853,96.86,0.3536,87.66,0.9254
6,0.0632,97.73,0.3682,89.05,0.9295
7,0.0436,98.45,0.3498,89.89,0.9392
8,0.0256,99.06,0.3806,89.56,0.9345
9,0.0164,99.43,0.4520,88.95,0.9325
10,0.0132,99.57,0.4231,89.61,0.9312
