Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4131,79.76,0.3288,85.34,0.9072
2,0.1906,92.62,0.3652,86.03,0.9150
3,0.1149,96.13,0.3511,88.19,0.9346
4,0.0907,97.31,0.4659,86.42,0.9177
5,0.0746,97.92,0.5016,87.55,0.9292
6,0.0641,98.37,0.4258,86.01,0.9183
