Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4852,75.57,0.3418,85.22,0.8880
2,0.2634,89.08,0.3481,85.42,0.9226
3,0.1856,92.79,0.3630,86.40,0.9118
4,0.1306,95.25,0.4040,85.95,0.9173
5,0.0976,96.30,0.4020,85.68,0.9170
6,0.0811,96.93,0.4470,85.96,0.9283
