Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.5679,69.10,0.5031,74.82,0.8620
2,0.2888,87.56,0.3459,84.95,0.9181
3,0.1802,92.70,0.3244,87.45,0.9256
4,0.1263,95.38,0.4493,83.08,0.9250
5,0.0832,97.05,0.3376,91.45,0.9141
6,0.0590,98.20,0.3356,91.77,0.9148
7,0.0425,98.84,0.3904,90.47,0.9161
