Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4749,75.18,0.4239,80.86,0.9320
2,0.2294,90.86,0.2531,89.75,0.9572
3,0.1596,94.01,0.2673,89.24,0.9598
4,0.1258,95.37,0.2505,91.63,0.9607
5,0.0991,96.50,0.2398,91.82,0.9643
6,0.0816,97.29,0.2908,90.00,0.9598
7,0.0658,97.83,0.2878,92.06,0.9614
8,0.0532,98.37,0.3042,91.54,0.9601
9,0.0447,98.71,0.3454,91.78,0.9601
10,0.0385,98.95,0.3221,91.96,0.9609
