Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.3147,85.52,0.6209,75.14,0.8776
2,0.1368,94.97,0.3871,85.55,0.9052
3,0.0892,96.77,0.5070,83.64,0.8957
4,0.0650,97.65,0.4120,85.47,0.9194
5,0.0448,98.40,0.4478,86.44,0.9104
6,0.0307,98.89,0.4138,87.59,0.9181
7,0.0211,99.23,0.5022,87.79,0.9236
8,0.0150,99.51,0.5316,88.17,0.9131
9,0.0087,99.66,0.5789,88.22,0.9059
10,0.0061,99.77,0.6024,88.37,0.9031
