Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4601,77.44,0.4441,80.22,0.8762
2,0.2377,90.49,0.5644,77.15,0.8812
3,0.1556,93.98,0.4072,85.38,0.8986
4,0.1324,95.12,0.4667,83.40,0.8952
5,0.1112,95.97,0.5815,83.99,0.8773
6,0.0803,97.18,0.5252,85.53,0.8966
7,0.0656,97.51,0.6227,81.50,0.8993
8,0.0614,97.65,0.5016,83.60,0.8759
