Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4283,78.75,0.2642,89.58,0.9354
2,0.2245,91.17,0.2190,91.50,0.9582
3,0.1582,94.04,0.2178,91.73,0.9666
4,0.1246,95.44,0.2457,91.66,0.9670
5,0.1026,96.39,0.2175,92.80,0.9684
6,0.0838,97.20,0.2411,93.15,0.9690
7,0.0639,97.93,0.2539,92.43,0.9671
8,0.0525,98.37,0.2734,93.03,0.9652
9,0.0415,98.86,0.2887,92.74,0.9643
10,0.0372,99.02,0.3002,92.95,0.9613
