Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4918,76.47,0.5837,74.85,0.7852
2,0.1935,92.25,0.5151,81.48,0.8603
3,0.1254,95.25,0.5050,82.93,0.8808
4,0.0898,96.66,0.4536,84.91,0.8908
5,0.0652,97.57,0.4648,85.28,0.8965
6,0.0488,98.19,0.4330,87.89,0.9234
7,0.0326,98.82,0.5335,87.84,0.9137
8,0.0227,99.19,0.5195,87.91,0.9114
9,0.0134,99.56,0.5342,88.36,0.9156
10,0.0111,99.62,0.6011,87.83,0.9037
