Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4220,78.87,0.3235,86.08,0.9015
2,0.2113,92.19,0.4165,82.41,0.8943
3,0.1145,95.72,0.6264,79.39,0.9088
4,0.0831,96.98,0.4161,87.36,0.9289
5,0.0662,97.54,0.4253,88.09,0.9310
6,0.0491,98.22,0.5981,88.10,0.9293
