Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4296,79.54,0.3087,86.90,0.9043
2,0.2039,92.06,0.4315,83.83,0.9188
3,0.1150,95.77,0.4171,89.36,0.9277
4,0.0841,97.03,0.4506,88.56,0.9240
5,0.0567,98.08,0.4247,89.29,0.9340
6,0.0444,98.52,0.5935,85.54,0.9305
