Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4144,79.03,0.3928,83.84,0.9049
2,0.1980,92.26,0.3638,88.38,0.9190
3,0.1155,95.99,0.4743,86.59,0.9322
4,0.0971,97.12,0.3837,89.10,0.9235
5,0.0774,97.82,0.4557,89.19,0.9310
6,0.0579,98.57,0.4253,89.08,0.9338
7,0.0557,98.60,0.3930,89.84,0.9406
