Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4201,78.96,0.5470,74.83,0.8893
2,0.1940,92.35,0.3476,87.40,0.9176
3,0.1130,95.83,0.3569,88.25,0.9287
4,0.0744,97.38,0.4616,88.04,0.9255
5,0.0616,97.83,0.4624,84.75,0.9129
6,0.0435,98.58,0.5023,87.91,0.9283
7,0.0394,98.65,0.6216,88.22,0.9264
