Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4336,78.42,0.4297,78.35,0.9057
2,0.2048,91.92,0.4112,83.33,0.9146
3,0.1208,95.45,0.3401,87.99,0.9288
4,0.0850,96.95,0.4507,88.00,0.9344
5,0.0579,97.90,0.4145,88.54,0.9310
6,0.0449,98.38,0.4628,88.29,0.9324
7,0.0362,98.81,0.4285,88.47,0.9341
8,0.0341,98.83,0.4692,87.74,0.9325
