Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.5976,66.02,0.5341,71.38,0.6674
2,0.3163,85.94,0.4053,83.10,0.8052
3,0.1651,93.70,0.4506,83.86,0.8238
4,0.1057,96.17,0.5171,86.21,0.8320
5,0.0749,97.31,0.5956,82.34,0.8297
6,0.0438,98.60,0.6808,85.90,0.8439
7,0.0391,98.80,0.6977,86.72,0.8443
8,0.0244,99.26,0.7439,86.28,0.8451
9,0.0198,99.45,0.7412,86.41,0.8486
10,0.0149,99.62,0.7430,86.48,0.8525
