Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_AUC
1,0.4358,78.44,0.3080,86.70,0.9075
2,0.2171,91.61,0.4036,84.59,0.9050
3,0.1177,95.77,0.3886,88.65,0.9264
4,0.0809,97.06,0.4218,88.38,0.9285
5,0.0685,97.71,0.4733,87.50,0.9231
6,0.0670,98.14,0.5189,86.85,0.9072
